,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
2279,RU,['Russia'],Tanks,Unknown tank,301,99,['destroyed'],https://twitter.com/UAWeapons/status/1563175738022326272,_a91b789e1c17de6c9952,27/08/2022
2422,RU,['Russia'],Tanks,Unknown tank,301,242,['destroyed'],https://i.postimg.cc/t4c6P5FH/1008-unkn-tank-destr-16-10-23.png,_51e9152d9f8ac56d9f6b,17/10/2023
2424,RU,['Russia'],Tanks,Unknown tank,301,244,['destroyed'],https://i.postimg.cc/qMzDqfHL/1034-1x-t72b3-1x-t80bv-2x-unkn-tank-destr-1x-t80bv-aband-31-10-23.jpg,_855910742123e63bc483,02/11/2023
2425,RU,['Russia'],Tanks,Unknown tank,301,245,['destroyed'],https://i.postimg.cc/L4vGhBYH/1019-unkn-tank-destr-31-10-23.jpg,_0613538ffa73952aa4ca,02/11/2023
2426,RU,['Russia'],Tanks,Unknown tank,301,246,['destroyed'],https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_4a0373126fea3c7f5cb1,05/11/2023
2427,RU,['Russia'],Tanks,Unknown tank,301,247,['destroyed'],https://i.postimg.cc/Wp5gB2Wx/1033-unkn-tank-destr-19-10-23.jpg,_4e2dc4d250cd6a77b231,05/11/2023
2436,RU,['Russia'],Tanks,Unknown tank,301,9,['damaged'],https://twitter.com/UAWeapons/status/1593253796855001093,_c3f49d5df86e490d24d7,17/11/2022
2439,RU,['Russia'],Tanks,Unknown tank,301,12,['damaged'],https://i.postimg.cc/mkr5X8Cn/1022-unkn-tank-dam-16-01-23.jpg,_8687fcc435c2300755b5,19/01/2023
2451,RU,['Russia'],Tanks,Unknown tank,301,24,['damaged'],https://i.postimg.cc/6TJJTbQf/1015-unkn-tank-dam-07-07-23.jpg,_47862ee2a62f3a426f71,08/07/2023
2452,RU,['Russia'],Tanks,Unknown tank,301,25,['damaged'],https://i.postimg.cc/DZRMmPFy/1042-unkn-tank-dam-08-10-23.jpg,_084bdd940bed5b20f9ce,08/10/2023
2460,RU,['Russia'],Tanks,Unknown tank,301,8,"['damaged', 'abandoned']",https://i.postimg.cc/g0JBYvSX/443f.png,_792a1394fc8f5d75fb2c,03/04/2023
2899,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,32,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_74f84ffb9e6b73af5292,05/11/2023
2900,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,33,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_9a175557e86b6651f0b9,05/11/2023
2901,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,34,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_38f1aba1a8e994e94f45,05/11/2023
3249,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,37,1,['abandoned'],https://i.postimg.cc/8kynTp9c/1030-unkn-t72-and-MT-LB-with-ZU-23-aband-31-10-23.jpg,_5c6e8dc8cad68aaec546,02/11/2023
3940,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,9,['abandoned'],https://twitter.com/UAWeapons/status/1590375007930417152,_c4a0b455ff93b3fd8ccb,09/11/2022
3975,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,44,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_2f79beccabd36bdcc0f9,05/11/2023
3976,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,45,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_88692f6338cf2108a22a,05/11/2023
5204,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,26,['destroyed'],https://twitter.com/UAWeapons/status/1531369866061664256,_a85df83756d1d2ff1bca,30/05/2022
5299,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,121,['destroyed'],https://i.postimg.cc/T3rkmZKZ/1032-unkn-bmp-destr-15-10-23.jpg,_4abee815a07121bc9509,28/10/2023
5302,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,124,['destroyed'],https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg,_98a790b53b4ccb01c791,31/10/2023
6235,RU,['Russia'],Infantry Fighting Vehicles,BTR-82A(M),554,264,['destroyed'],https://i.postimg.cc/h4QGG5T3/1040-btr82a-destr-25-02-23.jpg,_3c287f949159c8c0581b,03/03/2023
6245,RU,['Russia'],Infantry Fighting Vehicles,BTR-82A(M),554,274,['destroyed'],https://i.postimg.cc/VLZjrPwN/1018-BTR-82-A-destr-16-02-23.jpg,_504bfb22ef9a4f1173d8,20/02/2023
6724,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,54,15,['destroyed'],https://twitter.com/UAWeapons/status/1528848223519088644,_818a9d43e253e54aa29d,24/05/2022
6725,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,54,16,['destroyed'],https://i.postimg.cc/G35SRpK4/221.jpg,_f3039f01021c7d5bc006,28/05/2022
6752,RU,['Russia'],Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,54,43,['destroyed'],https://i.postimg.cc/sf8LsYCJ/1011-BTR-80-82-destr-01-08-23.jpg,_19c2f77e8c99714fc3c3,03/08/2023
