owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Engineering Vehicles And Equipment ;BREM-L armoured recovery vehicle;;;;;;;;;;;;BREM-L armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;MTP-A2 recovery vehicle;;;;;;;;;;;;MTP-A2 recovery vehicle;;
RU;Engineering Vehicles And Equipment ;MTP-A2.1 recovery vehicle;;;;;;;;;;;;MTP-A2.1 recovery vehicle;;
RU;Engineering Vehicles And Equipment ;Ural-4320 KET-L recovery vehicle;;;;;;;;;;;;Ural-4320 KET-L recovery vehicle;;
RU;Engineering Vehicles And Equipment ;Ural-4320 KT-L recovery vehicle;;;;;;;;;;;;Ural-4320 KT-L recovery vehicle;;
RU;Engineering Vehicles And Equipment ;KrAZ-260KT-L recovery vehicle;;;;;;;;;;;;KrAZ-260KT-L recovery vehicle;;
RU;Engineering Vehicles And Equipment ;IMR-2(M) combat engineering vehicle;;;;;;;;;;;;IMR-2(M) combat engineering vehicle;;
RU;Engineering Vehicles And Equipment ;IMR-3M combat engineering vehicle;;;;;;;;;;;;IMR-3M combat engineering vehicle;;
RU;Engineering Vehicles And Equipment ;PTS-2  tracked amphibious transport;;;;;;;;;;;;PTS-2  tracked amphibious transport;;
RU;Engineering Vehicles And Equipment ;MTU-72 bridge layer;;;;;;;;;;;;MTU-72 bridge layer;;
RU;Engineering Vehicles And Equipment ;TMM-3 bridge layer;;;;;;;;;;;;TMM-3 bridge layer;;
RU;Engineering Vehicles And Equipment ;PMP floating bridge;;;;;;;;;;;;PMP floating bridge;;
RU;Engineering Vehicles And Equipment ;PP-2005 floating bridge;;;;;;;;;;;;PP-2005 floating bridge;;
RU;Engineering Vehicles And Equipment ;Pontoon bridge;;;;;;;;;;;;Pontoon bridge;;
RU;Engineering Vehicles And Equipment ;BMK-130M/BMK-150 towing and motor boat;;;;;;;;;;;;BMK-130M/BMK-150 towing and motor boat;;
RU;Engineering Vehicles And Equipment ;BMK-460 towing and motor boat;;;;;;;;;;;;BMK-460 towing and motor boat;;
RU;Engineering Vehicles And Equipment ;BMK-MT towing and motor boat;;;;;;;;;;;;BMK-MT towing and motor boat;;
RU;Engineering Vehicles And Equipment ;BMK-MOtowing and motor boat;;;;;;;;;;;;BMK-MOtowing and motor boat;;
RU;Engineering Vehicles And Equipment ;KrAZ-255B with excavator;;;;;;;;;;;;KrAZ-255B with excavator;;
RU;Engineering Vehicles And Equipment ;KamAZ-5350 with EOV-3523 excavator;;;;;;;;;;;;KamAZ-5350 with EOV-3523 excavator;;
RU;Engineering Vehicles And Equipment ;KamAZ-5350 with KS-45719-7M crane;;;;;;;;;;;;KamAZ-5350 with KS-45719-7M crane;;
RU;Engineering Vehicles And Equipment ;Ural-4320 with KS-3574M3 or KS-3574M crane;;;;;;;;;;;;Ural-4320 with KS-3574M3 or KS-3574M crane;;
RU;Engineering Vehicles And Equipment ;Ural-375D with 8T210 crane;;;;;;;;;;;;Ural-375D with 8T210 crane;;
RU;Engineering Vehicles And Equipment ;KamAZ-63501 with KS-55729-7M 32-ton crane;;;;;;;;;;;;KamAZ-63501 with KS-55729-7M 32-ton crane;;
RU;Engineering Vehicles And Equipment ;KamAZ KMV-10V boom crane truck;;;;;;;;;;;;KamAZ KMV-10V boom crane truck;;
RU;Engineering Vehicles And Equipment ;Ural-4320 with EOV-3521 excavator;;;;;;;;;;;;Ural-4320 with EOV-3521 excavator;;
RU;Engineering Vehicles And Equipment ;ED2x30-T400-3RA mobile generator;;;;;;;;;;;;ED2x30-T400-3RA mobile generator;;
RU;Engineering Vehicles And Equipment ;Mobile generator forPodlet-K1 low-altitude S-band surveillance radar;;;;;;;;;;;;Mobile generator forPodlet-K1 low-altitude S-band surveillance radar;;
RU;Engineering Vehicles And Equipment ;MTO-UB1 maintenance vehicle;;;;;;;;;;;;MTO-UB1 maintenance vehicle;;
RU;Engineering Vehicles And Equipment ;MTO-UB2maintenance vehicle;;;;;;;;;;;;MTO-UB2maintenance vehicle;;
RU;Engineering Vehicles And Equipment ;MTO-AT mobile workshop;;;;;;;;;;;;MTO-AT mobile workshop;;
RU;Engineering Vehicles And Equipment ;MTO-AG-3M mobile workshop;;;;;;;;;;;;MTO-AG-3M mobile workshop;;
RU;Engineering Vehicles And Equipment ;ARS-14 decontamination and degassing vehicle;;;;;;;;;;;;ARS-14 decontamination and degassing vehicle;;
RU;Engineering Vehicles And Equipment ;Uran-6 mine-clearing robotic system;;;;;;;;;;;;Uran-6 mine-clearing robotic system;;
