,owner,origen,weapon,platform,total,number,Status,url
4423,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,5,['destroyed'],https://i.postimg.cc/WpJ41Xjt/436.png
4424,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,6,['destroyed'],https://postlmg.cc/LqqTyhTm
4425,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,7,['destroyed'],https://i.postimg.cc/Kj0zwkHs/2009-Ural-4320-tanker-destr-18-10-23.jpg
4426,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,1,['damaged'],https://i.postimg.cc/tCpV1x4P/2003-2x-ural-tanker-dam-27-02-22.jpg
4427,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,2,['damaged'],https://i.postimg.cc/tCpV1x4P/2003-2x-ural-tanker-dam-27-02-22.jpg
4428,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,1,['captured'],https://i.postimg.cc/2SzvZzbq/443.png
4429,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,2,['captured'],https://i.postimg.cc/3JrJjW1H/Screenshot-8172.png
4430,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,3,['captured'],https://i.postimg.cc/L8n977GC/Screenshot-8173.png
4431,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,4,['captured'],https://i.postimg.cc/C5t52NPf/Screenshot-8111.png
4432,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,5,['captured'],https://i.postimg.cc/SQtnjSSN/Screenshot-8112.png
4433,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,6,['captured'],https://i.postimg.cc/5tqNnVFZ/f3.png
4434,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,7,['captured'],https://i.postimg.cc/nrdDz39r/5g2.png
